Model,RMSE,MAE,MAPE,SMAPE,WMAPE
Random Forest,53394.66846045933,34807.51883809724,3.853188466552466,3.8244157290596914,3.5348952596659116
XGBoost,53234.22969358855,35475.515954166665,3.812920214676716,3.7977444941036484,3.602734046166254
Ridge,370833.49904963066,181175.3976273558,15.456842499550671,14.036817556325293,18.399359552743004
"ARIMA(2,1,2)",651396.2890623318,530634.4817735176,73.28451391981133,55.74170711411561,53.888854386928266
"SARIMA(1,1,1)(1,0,1,52)",654488.9515110154,532425.1525374033,73.25292100807714,55.98990545082588,54.070706866110264
SARIMAX(exog),inf,9.894824968281212e+301,8.517516928407013e+297,83.58986221510094,1.004873976748904e+298
